code,name
AN,Andaman and Nicobar
AP,Andhra Pradesh
AR,Arunachal Pradesh
AS,Assam
BI,Bihar
CH,Chandigarh
CG,Chattisgarh
DN,Dadra and Nagar Haveli
DD,Daman and Diu
GO,Goa
GJ,Gujarat
HR,Haryana
HP,Himachal Pradesh
JK,Jammu and Kashmir
JR,Jharkhand
KK,Karnataka
KL,Kerala
LD,Lakshadweep
MP,Madhya Pradesh
MH,Maharashtra
MN,Manipur
MG,Meghalaya
MZ,Mizoram
NG,Nagaland
DL,NCT of Delhi
OR,Odisha
PC,Pondicherry
PB,Punjab
RJ,Rajasthan
SK,Sikkim
TN,Tamil Nadu
TL,Telangana
TR,Tripura
UP,Uttar Pradesh
UC,Uttrakhand
WB,West Bengal
