state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,_resource_id
Uttarakhand,Haridwar,Roorkee APMC,Bitter gourd,Other,Local,20/03/2026,650,850,750,9ef84268-d588-465a-a308-a864a43d0070
Madhya Pradesh,Jhabua,Petlawad(F&V) APMC,Bottle gourd,Bottle Gourd,Grade A,20/03/2026,1000,1200,1052,9ef84268-d588-465a-a308-a864a43d0070
Madhya Pradesh,Jhabua,Petlawad(F&V) APMC,Capsicum,Capsicum,Grade A,20/03/2026,4000,4000,4000,9ef84268-d588-465a-a308-a864a43d0070
Punjab,Mohali,Kharar APMC,Tomato,Tomato,Non-FAQ,20/03/2026,1500,2500,2000,9ef84268-d588-465a-a308-a864a43d0070
Punjab,Mohali,Kharar APMC,Peas Wet,Peas Wet,Local,20/03/2026,1500,3000,2500,9ef84268-d588-465a-a308-a864a43d0070
Punjab,Mohali,Kharar APMC,Pumpkin,Other,Local,20/03/2026,2000,2500,2200,9ef84268-d588-465a-a308-a864a43d0070
Gujarat,Mehsana,Mehsana APMC,Wheat,Local,Local,20/03/2026,2105,2255,2200,9ef84268-d588-465a-a308-a864a43d0070
Gujarat,Mehsana,Mehsana APMC,Castor Seed,Castor seed,Local,20/03/2026,6125,6600,6555,9ef84268-d588-465a-a308-a864a43d0070
Gujarat,Gandhinagar,Kalol APMC,Wheat,Other,Local,20/03/2026,2150,2550,2350,9ef84268-d588-465a-a308-a864a43d0070
Madhya Pradesh,Badwani,Sendhwa APMC,Soyabean,Soyabeen,FAQ,20/03/2026,5310,5310,5310,9ef84268-d588-465a-a308-a864a43d0070
Rajasthan,Kota,Manohararthana APMC,Mustard,Mustard,Non-FAQ,20/03/2026,5650,6270,5960,9ef84268-d588-465a-a308-a864a43d0070
Chattisgarh,Durg,Durg APMC,Potato,Local,Non-FAQ,20/03/2026,1400,1600,1600,9ef84268-d588-465a-a308-a864a43d0070
Assam,Nagaon,Dhing APMC,Potato,Potato,FAQ,20/03/2026,1100,1300,1200,9ef84268-d588-465a-a308-a864a43d0070
Madhya Pradesh,Shivpuri,Karera(F&V) APMC,Water Melon,Water Melon,Local,20/03/2026,900,1500,1200,9ef84268-d588-465a-a308-a864a43d0070
Uttar Pradesh,Bulandshahar,Anoop Shahar APMC,Potato,F.A.Q.,FAQ,20/03/2026,200,600,400,9ef84268-d588-465a-a308-a864a43d0070
Uttar Pradesh,Bulandshahar,Anoop Shahar APMC,Green Chilli,Green Chilly,FAQ,20/03/2026,3600,4000,3800,9ef84268-d588-465a-a308-a864a43d0070
Madhya Pradesh,Sehore,Sehore(F&V) APMC,Bottle gourd,Bottle Gourd,Grade Range-1,20/03/2026,800,1500,1000,9ef84268-d588-465a-a308-a864a43d0070
Madhya Pradesh,Sehore,Sehore(F&V) APMC,Capsicum,Capsicum,Grade Range-1,20/03/2026,2000,3000,2500,9ef84268-d588-465a-a308-a864a43d0070
