name,state,district,source,latitude,longitude,geocode_quality
Pundibari,West Bengal,Coochbehar,derived_from_market_records,,,
Toofanganj,West Bengal,Coochbehar,derived_from_market_records,,,
Sheoraphuly,West Bengal,Hooghly,derived_from_market_records,,,
Anoop Shahar,Uttar Pradesh,Bulandshahar,derived_from_market_records,,,
Sikanderabad,Uttar Pradesh,Bulandshahar,derived_from_market_records,,,
Sealdah Koley Market,West Bengal,Kolkata,derived_from_market_records,22.56263,88.36304,PPLA
Deesa(Deesa Veg Yard),Gujarat,Banaskanth,derived_from_market_records,,,
Bharuch,Gujarat,Bharuch,derived_from_market_records,21.69482,72.9805,PPL
Talalagir,Gujarat,Gir Somnath,derived_from_market_records,,,
Surat,Gujarat,Surat,derived_from_market_records,21.19594,72.83023,PPL
Padra,Gujarat,Vadodara(Baroda),derived_from_market_records,,,
Vadodara(Sayajipura),Gujarat,Vadodara(Baroda),derived_from_market_records,,,
Borsad,Gujarat,Anand,derived_from_market_records,22.55251,72.9552,PPLA2
Junagadh,Gujarat,Junagarh,derived_from_market_records,19.85993,82.93385,PPL
Bardoli,Gujarat,Surat,derived_from_market_records,21.19594,72.83023,PPL
Valod(Buhari),Gujarat,Surat,derived_from_market_records,21.19594,72.83023,PPL
Bhiwani,Haryana,Bhiwani,derived_from_market_records,28.79304,76.13968,PPL
Ch. Dadri,Haryana,Bhiwani,derived_from_market_records,28.79304,76.13968,PPL
Tosham,Haryana,Bhiwani,derived_from_market_records,28.79304,76.13968,PPL
Barwala(Hisar),Haryana,Hissar,derived_from_market_records,36.0633,48.581,PPL
Barwala,Haryana,Panchkula,derived_from_market_records,30.69461,76.8504,PPLA2
Narwal Jammu (F&V),Jammu and Kashmir,Jammu,derived_from_market_records,32.73528,74.86167,PPLA
Kathua,Jammu and Kashmir,Kathua,derived_from_market_records,32.36941,75.52539,PPL
Ajnala,Punjab,Amritsar,derived_from_market_records,31.62234,74.87534,PPL
Barnala,Punjab,Barnala,derived_from_market_records,30.37451,75.5487,PPL
Meham,Haryana,Rohtak,derived_from_market_records,28.89447,76.58917,PPL
Hamirpur,Himachal Pradesh,Hamirpur,derived_from_market_records,25.9553,80.14842,PPL
Hamirpur(Nadaun),Himachal Pradesh,Hamirpur,derived_from_market_records,25.9553,80.14842,PPL
Gadhwah,Jharkhand,Garhwa,derived_from_market_records,24.16002,83.80755,PPL
Munnar,Kerala,Idukki,derived_from_market_records,9.85,76.96667,PPL
Kollam,Kerala,Kollam,derived_from_market_records,8.88113,76.58469,PPLA2
Kottarakkara,Kerala,Kollam,derived_from_market_records,8.88113,76.58469,PPLA2
Kuruppanthura,Kerala,Kottayam,derived_from_market_records,9.58692,76.52132,PPL
Shillong,Meghalaya,East Khasi Hills,derived_from_market_records,,,
Shahdara,NCT of Delhi,Delhi,derived_from_market_records,28.65195,77.23149,PPLA
Khamano,Punjab,Fatehgarh,derived_from_market_records,27.36409,79.63111,PPL
Talwandi Bhai,Punjab,Ferozpur,derived_from_market_records,30.93198,72.83818,PPL
Adampur,Punjab,Jalandhar,derived_from_market_records,31.32556,75.57917,PPL
Bilga,Punjab,Jalandhar,derived_from_market_records,31.32556,75.57917,PPL
Lohian Khas,Punjab,Jalandhar,derived_from_market_records,31.32556,75.57917,PPL
Bariwala,Punjab,Muktsar,derived_from_market_records,30.47426,74.5166,PPL
Giddarbaha,Punjab,Muktsar,derived_from_market_records,30.47426,74.5166,PPL
Malout,Punjab,Muktsar,derived_from_market_records,30.47426,74.5166,PPL
Muktsar,Punjab,Muktsar,derived_from_market_records,30.47426,74.5166,PPL
Banga,Punjab,Nawanshahr,derived_from_market_records,31.1245,76.11613,PPL
Ajmer(F&V),Rajasthan,Ajmer,derived_from_market_records,26.4521,74.63867,PPL
Alwar (F&V),Rajasthan,Alwar,derived_from_market_records,27.56246,76.625,PPL
Bikaner (F&V),Rajasthan,Bikaner,derived_from_market_records,28.01762,73.31495,PPL
Jodhpur (F&V),Rajasthan,Jodhpur,derived_from_market_records,26.26841,73.00594,PPL
Nabha,Punjab,Patiala,derived_from_market_records,30.33625,76.3922,PPL
Morinda,Punjab,Ropar (Rupnagar),derived_from_market_records,,,
Lehra Gaga,Punjab,Sangrur,derived_from_market_records,30.24506,75.84488,PPL
Sriganganagar (F&V),Rajasthan,Ganganagar,derived_from_market_records,29.92009,73.87496,PPLA2
Kiratpur,Uttar Pradesh,Bijnor,derived_from_market_records,29.373,78.13636,PPL
Unnao,Uttar Pradesh,Unnao,derived_from_market_records,26.54706,80.48781,PPL
Kotadwara,Uttrakhand,Garhwal (Pauri),derived_from_market_records,,,
Diamond Harbour,West Bengal,North 24 Parganas,derived_from_market_records,,,
Baruipur(Canning),West Bengal,Sounth 24 Parganas,derived_from_market_records,,,
Ahmedabad,Gujarat,Ahmedabad,derived_from_market_records,23.02579,72.58727,PPL
Bilimora,Gujarat,Navsari,derived_from_market_records,20.94237,72.92467,PPLA2
Piravam,Kerala,Ernakulam,derived_from_market_records,9.93988,76.26022,PPL
Punalur,Kerala,Kollam,derived_from_market_records,8.88113,76.58469,PPLA2
Wadakkanchery,Kerala,Thirssur,derived_from_market_records,,,
Anyara(EEC),Kerala,Thiruvananthapuram,derived_from_market_records,8.4855,76.94924,PPLA
Chala,Kerala,Thiruvananthapuram,derived_from_market_records,8.4855,76.94924,PPLA
Pothencode,Kerala,Thiruvananthapuram,derived_from_market_records,8.4855,76.94924,PPLA
Thiruvananthapuram,Kerala,Thiruvananthapuram,derived_from_market_records,8.4855,76.94924,PPLA
Gunpur,Odisha,Rayagada,derived_from_market_records,19.17132,83.41428,PPL
Chittorgarh,Rajasthan,Chittorgarh,derived_from_market_records,24.88963,74.62403,PPL
Pabiacherra,Tripura,Unokoti,derived_from_market_records,,,
Baruwasagar,Uttar Pradesh,Jhansi,derived_from_market_records,25.45887,78.57994,PPL
Gurdaspur,Punjab,Gurdaspur,derived_from_market_records,32.03933,75.40318,PPL
Kalanaur,Punjab,Gurdaspur,derived_from_market_records,32.03933,75.40318,PPL
Quadian,Punjab,Gurdaspur,derived_from_market_records,32.03933,75.40318,PPL
Jalandhar City,Punjab,Jalandhar,derived_from_market_records,31.32556,75.57917,PPL
Phillaur,Punjab,Jalandhar,derived_from_market_records,31.32556,75.57917,PPL
Ludhiana,Punjab,Ludhiana,derived_from_market_records,30.91204,75.85379,PPL
Roorkee APMC,Uttarakhand,Haridwar,derived_from_market_records,29.94791,78.16025,PPL
Kharar APMC,Punjab,Mohali,derived_from_market_records,30.67995,76.72211,PPL
Karera(F&V) APMC,Madhya Pradesh,Shivpuri,derived_from_market_records,25.42378,77.66223,PPL
Bilimora APMC,Gujarat,Navsari,derived_from_market_records,20.94237,72.92467,PPLA2
Chansama APMC,Gujarat,Patan,derived_from_market_records,27.67658,85.31417,PPL
APMCKHEDBRAHMA,Gujarat,Sabarkantha,derived_from_market_records,,,
