india_state__ut,enrolment___private_unaided_recognized___pre_primary___boys,enrolment___private_unaided_recognized___pre_primary___girls,enrolment___private_unaided_recognized___pre_primary___total,enrolment___private_unaided_recognized___primary__1_to_5____boys,enrolment___private_unaided_recognized___primary__1_to_5____girls,enrolment___private_unaided_recognized___primary__1_to_5____total,enrolment___private_unaided_recognized___upper_primary__6_8____boys,enrolment___private_unaided_recognized___upper_primary__6_8____girls,enrolment___private_unaided_recognized___upper_primary__6_8____total,enrolment___private_unaided_recognized___elementary__1_8____boys,enrolment___private_unaided_recognized___elementary__1_8____girls,enrolment___private_unaided_recognized___elementary__1_8____total,enrolment___private_unaided_recognized___secondary__9_10____boys,enrolment___private_unaided_recognized___secondary__9_10____girls,enrolment___private_unaided_recognized___secondary__9_10____total,enrolment___private_unaided_recognized___higher_secondary__11_12____boys,enrolment___private_unaided_recognized___higher_secondary__11_12____girls,enrolment___private_unaided_recognized___higher_secondary__11_12____total,enrolment___private_unaided_recognized___primary_to_higher_secondary__1_12____boys,enrolment___private_unaided_recognized___primary_to_higher_secondary__1_12____girls,enrolment___private_unaided_recognized___primary_to_higher_secondary__1_12____total,enrolment___private_unaided_recognized___total__pre_primary_to_higher_secondary____boys,enrolment___private_unaided_recognized___total__pre_primary_to_higher_secondary____girls,enrolment___private_unaided_recognized___total__pre_primary_to_higher_secondary____total,_resource_id,_source_resource_id
India,3165922,2655069,5820991,21642902,17293492,38936394,11253354,8759875,20013229,32896256,26053367,58949623,7229787,5617494,12847281,5879924,4773497,10653421,46005967,36444358,82450325,49171889,39099427,88271316,049d64ee-24ed-483f-b84f-00b525516552,049d64ee-24ed-483f-b84f-00b525516552
Andaman and Nicobar Islands,1508,1468,2976,5144,4656,9800,2361,2162,4523,7505,6818,14323,1071,1091,2162,678,663,1341,9254,8572,17826,10762,10040,20802,049d64ee-24ed-483f-b84f-00b525516552,049d64ee-24ed-483f-b84f-00b525516552
Andhra Pradesh,39414,32953,72367,789604,634492,1424096,418029,316656,734685,1207633,951148,2158781,266457,205300,471757,319839,299048,618887,1793929,1455496,3249425,1833343,1488449,3321792,049d64ee-24ed-483f-b84f-00b525516552,049d64ee-24ed-483f-b84f-00b525516552
Arunachal Pradesh,8480,7359,15839,27338,22606,49944,10706,8105,18811,38044,30711,68755,3884,3226,7110,1601,1635,3236,43529,35572,79101,52009,42931,94940,049d64ee-24ed-483f-b84f-00b525516552,049d64ee-24ed-483f-b84f-00b525516552
Assam,107652,91207,198859,391625,328619,720244,187184,160754,347938,578809,489373,1068182,103964,91565,195529,66065,66500,132565,748838,647438,1396276,856490,738645,1595135,049d64ee-24ed-483f-b84f-00b525516552,049d64ee-24ed-483f-b84f-00b525516552
Bihar,137757,93981,231738,776343,520403,1296746,396671,265754,662425,1173014,786157,1959171,286714,220909,507623,333463,274262,607725,1793191,1281328,3074519,1930948,1375309,3306257,049d64ee-24ed-483f-b84f-00b525516552,049d64ee-24ed-483f-b84f-00b525516552
Chandigarh,6297,5653,11950,17812,14953,32765,10801,8815,19616,28613,23768,52381,7496,5797,13293,6008,4887,10895,42117,34452,76569,48414,40105,88519,049d64ee-24ed-483f-b84f-00b525516552,049d64ee-24ed-483f-b84f-00b525516552
Chhattisgarh,118510,105709,224219,403938,352959,756897,184860,156226,341086,588798,509185,1097983,94175,78880,173055,79893,68450,148343,762866,656515,1419381,881376,762224,1643600,049d64ee-24ed-483f-b84f-00b525516552,049d64ee-24ed-483f-b84f-00b525516552
Dadra and Nagar Haveli and Daman and Diu,1779,1413,3192,9471,7096,16567,4710,3341,8051,14181,10437,24618,2769,1872,4641,1602,1170,2772,18552,13479,32031,20331,14892,35223,049d64ee-24ed-483f-b84f-00b525516552,049d64ee-24ed-483f-b84f-00b525516552
Delhi,70194,58640,128834,417578,312993,730571,225324,155120,380444,642902,468113,1111015,121935,82184,204119,106445,74109,180554,871282,624406,1495688,941476,683046,1624522,049d64ee-24ed-483f-b84f-00b525516552,049d64ee-24ed-483f-b84f-00b525516552
Goa,3652,3223,6875,12978,11108,24086,2215,2071,4286,15193,13179,28372,1180,1120,2300,866,700,1566,17239,14999,32238,20891,18222,39113,049d64ee-24ed-483f-b84f-00b525516552,049d64ee-24ed-483f-b84f-00b525516552
Gujarat,87635,70156,157791,1107303,848011,1955314,621885,463917,1085802,1729188,1311928,3041116,313106,211188,524294,256138,176429,432567,2298432,1699545,3997977,2386067,1769701,4155768,049d64ee-24ed-483f-b84f-00b525516552,049d64ee-24ed-483f-b84f-00b525516552
Haryana,120637,94646,215283,780210,562248,1342458,479889,336053,815942,1260099,898301,2158400,311080,211566,522646,235324,170214,405538,1806503,1280081,3086584,1927140,1374727,3301867,049d64ee-24ed-483f-b84f-00b525516552,049d64ee-24ed-483f-b84f-00b525516552
Himachal Pradesh,33731,28483,62214,131356,107292,238648,68642,54162,122804,199998,161454,361452,40523,30945,71468,23054,18016,41070,263575,210415,473990,297306,238898,536204,049d64ee-24ed-483f-b84f-00b525516552,049d64ee-24ed-483f-b84f-00b525516552
Jammu and Kashmir,132741,114224,246965,295461,244353,539814,147435,118002,265437,442896,362355,805251,74806,59635,134441,27366,21010,48376,545068,443000,988068,677809,557224,1235033,049d64ee-24ed-483f-b84f-00b525516552,049d64ee-24ed-483f-b84f-00b525516552
Jharkhand,35131,26873,62004,188375,137348,325723,155333,114506,269839,343708,251854,595562,181921,151905,333826,169167,146928,316095,694796,550687,1245483,729927,577560,1307487,049d64ee-24ed-483f-b84f-00b525516552,049d64ee-24ed-483f-b84f-00b525516552
Karnataka,127688,110615,238303,1318518,1087963,2406481,665322,543463,1208785,1983840,1631426,3615266,375777,310929,686706,314949,297961,612910,2674566,2240316,4914882,2802254,2350931,5153185,049d64ee-24ed-483f-b84f-00b525516552,049d64ee-24ed-483f-b84f-00b525516552
Kerala,97352,91777,189129,406191,373091,779282,183653,168795,352448,589844,541886,1131730,95902,92501,188403,58373,56586,114959,744119,690973,1435092,841471,782750,1624221,049d64ee-24ed-483f-b84f-00b525516552,049d64ee-24ed-483f-b84f-00b525516552
