District_Names,State_UT,Household_Surveyed,Women_Age_Interviewed,Men_Age_Interviewed,Female_Population_Attended_School,Population_Below_15Years,Sex_Ratio,Sex_Ratio_At_Birth,Birth_Registration_Under_5,Death_Registration_Last_3,Household_Electricity,Improved_Drinking-Water_Source,Household_Using_Improved_Sanitation,Households_Using_Clean_Fuel,Households_Using_Iodized_Salt,Health_Insurance_Scheme_Coverage,Children_Attended_Pre-Primary_School,Literate_Women,Women_Age_Schooling,Married_Women,Birth_Preceding_Survey,Already_Mother_or_Pregnant,Hygienic_Menstrual_Protection_Use,Using_Any_Contraception_Method,Using_Modern_Contraception_Method,Female_Sterilization,Male_Sterilization,IUD_PPIUD,Pill_Usage,Condom_Usage,Injectables_Usage,Total_Unmet_Contraception_Need,Unmet_Need_For_Spacing,Non-Users_Advised_Family_Planning,Users_Informed_Side_Effects,Antenatal_Check-up_First_Trimester,Mothers_Four_ANC_Visits,Neonatal_Tetanus_Protection,Iron_Folic_Acid_100_Days,Iron_Folic_Acid_180_Days,Postnatal_Care_Within_2_Days,Financial_Assistance_Under_JSY,Out-of-Pocket_Expenditure,Children_Born_At_Home,Children_Health_Check_After_Birth,Institutional_Birth,Public_Facility_Institutional_Births,Home_Deliveries_By_Professionals,Births_Assisted_By_Professionals,Caesarean_Section_Births,Private_Caesarean_Section_Births,Public_Caesarean_Section_Births,Children_Fully_Vaccinated_Recall,Children_Fully_Vaccinated,Children_BCG_Vaccine,Children_Polio_Doses,Children_DPT_Doses,Children_1st_Measles_Vaccine,Children_2nd_Measles_Vaccine,Children_3rd_Rotavirus_Vaccine,Children_3rd_Penta_Vaccine,Children_Vitamin_A,Children_Vaccinations_Public_Facility,Children_Vaccinations_Private_Facility,Prevalence_Diarrhoea_Survey,Diarrhea_Cases_Received_ORS,Diarrhea_Cases_Received_Zinc,Diarrhea_Cases_Treated_Facility,ARI_Treated_Prevalence,Fever/ARI_Cases_Treated_Facility,Breastfed_Within_One_Hour,Exclusive_Breastfeeding_Under_6,Solid_Food_Introduction_6-8,Breastfeeding_Children_Adequate_Diet,Non-Breastfeeding_Adequate_Diet,Total_Children_Adequate_Diet,Stunted_Children_Under_Five,Wasted_Children_Under_Five,Severely_Wasted_Children_Under_Five,Underweight_Children_Under_Five,Overnight_Children_Under_Five,Women_Below_Normal_BMI,Overweight_or_Obese_Women,Women_Waist-to-Hip_Ratio,Anaemic_Children_6-59_Months,Anaemic_Non-Pregnant_Women,Anaemic_Pregnant_Women,Anaemic_All_Women_15-49,Anaemic_All_Women_15-19,Women_High_Blood_Sugar,Women_Very_High_Sugar,Women_High_Sugar_Control_With_Medicine,Men_High_Blood_Sugar,Men_Very_High_Sugar,Men_High_Sugar_Control_With_Medicine,Women_Mildly_Elevated_BP,Women_Moderately_Elevated_BP,Women_Elevated_BP,Men_Mildly_Elevated_BP,Men_Moderately_Elevated_BP,Men_Elevated_BP,Women_Cervical_Cancer,Women_Breast_Cancer,Women_Oral_Cancer,Women_Tobacco,Men_Tobacco,Women_Alcohol,Men_Alcohol,_resource_id,_source_resource_id
Nicobars,Andaman & Nicobar Islands,882,764,125,78,23,973,927,98,83.2,97.9,98.8,83.5,56.9,99.4,2.7,-29.5,87.5,53.5,11.4,0,1.8,100,65.3,57.2,46.4,0,2.7,2,4.9,1.2,9.5,3.3,40.4,49.4,62.8,71.7,78,72.6,43.9,97.9,85.1,2278,*,92.5,97.8,96.7,0.8,98.6,11.5,*,10.7,-64.2,-94.1,-80.4,-69.1,-71.9,-67.3,-20.7,-3.1,-68.6,94.9,-100,0,5.7,*,*,*,1.8,-85.7,55.4,*,*,-19.4,*,-18.7,21.6,15.7,7.8,24.6,1.5,8.2,39.1,62.5,37.7,38.4,*,38.3,48,7.4,3.9,13.1,9.6,4.4,15.4,23.2,8.5,35.4,32.9,11.1,47,13.4,13.2,5.4,63.5,76.8,29.6,64.5,cf80173e-fece-439d-a0b1-6e9cb510593d,cf80173e-fece-439d-a0b1-6e9cb510593d
North & Middle Andaman,Andaman & Nicobar Islands,874,789,108,82.7,19.8,950,844,100,-92.6,93.2,92.2,86.4,61.3,99.9,2.1,-30.1,84,41,15.4,1.5,3.8,100,84.1,73.1,48.3,0.6,6.4,7.8,9.3,0,5.8,1.3,23.2,83.2,74.5,79.2,91.1,83.7,24.1,99.2,92.5,1904,*,94.3,97.7,95,0.7,98.3,12.9,*,11.4,*,*,*,*,*,*,*,*,*,-89.6,*,*,4.5,*,*,*,7,*,27.3,*,*,-6.5,*,-5.9,27,27,8.3,42.8,0.8,8.6,35.9,79.3,30.4,62.5,*,62.1,47.8,7.2,6.4,16.7,9.1,6.9,18.3,18.4,4,27.4,22.6,6,32.2,1.7,0.3,15.8,46.8,70.5,5.1,45.3,cf80173e-fece-439d-a0b1-6e9cb510593d,cf80173e-fece-439d-a0b1-6e9cb510593d
South Andaman,Andaman & Nicobar Islands,868,844,134,84.7,21,967,935,96.5,92.2,99.6,97.9,89.3,91.9,99.7,1.2,-50.8,86.7,57.5,17.1,0.5,2.8,98.2,57.1,50.5,34,0,2.8,1.8,10.6,0.3,17.6,8.6,31.2,88.2,79.4,85.9,92.1,81,61.9,98.9,88.1,3460,*,89.8,99.5,83.8,0,96.9,37.1,-79.1,29.6,-76.3,-96.6,-100,-79,-94.8,-81.7,-33.7,0,-85.3,84,-93.1,-4.3,6,*,*,*,0,-77.3,51.1,*,*,-22.3,*,23.5,21.1,12.6,3.5,17.4,7.2,10,39,78.2,43.4,57.6,*,57.7,43.2,7.5,9.5,18.4,9.3,7.8,18.1,12.7,4.9,23,17.9,6.1,26.9,1.3,0.7,8,19.6,50.8,1.7,32.8,cf80173e-fece-439d-a0b1-6e9cb510593d,cf80173e-fece-439d-a0b1-6e9cb510593d
Srikakulam,Andhra Pradesh,874,780,100,60,20.7,1140,1163,95,71,99.9,87.7,71.6,74.7,76.5,75.6,0,64.3,42.5,25.4,0,5.5,78,72.3,72.2,71,0.3,0.6,0,0.3,0,5.7,3.6,16,45.8,79.7,78.4,94.4,67.5,35.3,100,90.8,3479,*,97.7,97.9,52.2,0.5,96.4,57,73.8,44.5,-82.8,-100,-93.3,-82.8,-89.7,-93.3,-34.9,-74.8,-89.7,69.6,-97,-3,11.9,*,*,*,1.3,-79.7,42.8,*,*,-14,*,16.1,19.7,19.5,7.4,21.4,4.5,13.8,27.2,54,59.6,62.8,*,62.6,59.2,8.2,7.8,17.4,6.8,8.6,17.6,12.8,5.9,22.1,14.4,5.5,22.9,1,0.2,3.8,7.1,21.3,0.6,28.3,cf80173e-fece-439d-a0b1-6e9cb510593d,cf80173e-fece-439d-a0b1-6e9cb510593d
Vizianagaram,Andhra Pradesh,902,853,134,56,20.6,1114,898,95.4,81.7,99.5,93.1,61.7,60.3,85,76.7,-25.2,58.3,37.6,33.7,2.2,12.7,72.5,71.2,71.2,69.3,1.3,0,0,0.6,0,6.7,4.7,21.1,36.4,76.1,71.4,91.3,59.6,32.4,98.8,83.9,1931,*,89.2,99,70.6,0.5,97.6,41.3,70.3,30.3,-76.8,*,-100,-76.8,-90.3,-92.5,-35,-77.3,-83.6,85.9,-100,0,7.5,*,*,*,1.4,-83.5,55.6,*,*,-2.5,*,1.8,36.4,19.2,8.3,32.2,4.7,16.9,28.8,58,66.7,64.6,*,64,73.9,6.2,7,14.3,5.8,7.5,14.5,12.9,6.6,25.2,14.8,6.4,25.1,4.9,0.6,7.3,11.4,21.5,0.8,32.3,cf80173e-fece-439d-a0b1-6e9cb510593d,cf80173e-fece-439d-a0b1-6e9cb510593d
Visakhapatnam,Andhra Pradesh,869,818,112,66.8,21.4,1066,974,90.5,71.3,99.6,91.8,77.8,72.9,82.2,64.9,-5,69.5,46,25.4,0,9.5,85.7,68,67.7,64.9,1.5,0.3,0,0.8,0,4.8,2.4,15.2,35.3,79.4,58.6,88,75,40.1,97,84.8,2200,*,90.9,95.3,69.3,0,94.4,26.5,57.2,16.8,-76.5,-93.5,-97.9,-76.5,-90.5,-95.1,-45.1,-72.9,-79.6,91.3,-83.8,-9.7,8.1,*,*,*,2,-72.3,64.3,*,*,-6.9,*,11.8,31,21.5,11.2,33.5,4.8,17.4,23.8,58,72.6,58.6,*,58,58.9,6.1,8.6,17,7.3,8.5,18.2,12.1,5.9,23.9,17,7,29.2,1.7,0.7,4.1,6.3,22.8,1.3,30.2,cf80173e-fece-439d-a0b1-6e9cb510593d,cf80173e-fece-439d-a0b1-6e9cb510593d
East Godavari,Andhra Pradesh,888,824,105,75.4,20.5,995,882,93,68.2,98.8,97.9,77.7,80.3,81.2,66.4,-11.2,77.9,43.2,26,1.3,6.2,71,66.3,66.3,64.1,0.9,0.1,0.3,1.1,0,8,4.4,12.5,32.4,76.3,51,87,62.7,32.3,91.4,91.9,8159,*,93.5,96.6,46,2.2,89.9,52.2,72,34.1,-59,-67.3,-92.7,-66.3,-83.9,-76.7,-32.5,-77.8,-86.7,81.4,-85.3,-7.5,13.3,-72.9,-23,-69.4,2.2,-63.7,51.3,*,*,-3,*,10.2,23.1,14.3,3.8,22.4,3.4,10.2,44.4,49.2,66.8,63.2,*,63,65.2,7.5,12.7,21.7,9.2,15.5,27.6,13,6.6,29,17.3,7.3,32.2,1.9,1,4.8,3.2,25.5,0.7,25.9,cf80173e-fece-439d-a0b1-6e9cb510593d,cf80173e-fece-439d-a0b1-6e9cb510593d
West Godavari,Andhra Pradesh,884,841,122,75.4,21.5,999,833,93.5,90.1,99.3,99.1,80.8,86.8,83.4,67.6,-2.7,77,46.5,22.1,0.5,13.4,84.4,77.8,77.2,74.5,0.7,0.6,0.4,0.6,0.4,3,1.8,12.5,28.8,82.2,62.7,95.3,82.8,43.7,100,94.8,2318,*,96.4,98.7,48.8,0.7,98.5,55.7,72,40.4,-80,-87,-94.8,-80,-89,-91.7,-26.3,-77.7,-89,73.9,-100,0,2.7,*,*,*,1,-71.9,32.8,*,*,-4.9,*,3.5,31.4,11.7,4.7,22.5,5.2,10.1,45.3,51.6,62.3,63.1,*,63,66.8,7.3,13.1,23.8,7.2,10.4,18.9,14.7,6.1,28.8,17.7,8.7,31.4,7.1,1.8,13.1,2.2,21.8,0.2,23.6,cf80173e-fece-439d-a0b1-6e9cb510593d,cf80173e-fece-439d-a0b1-6e9cb510593d
Krishna,Andhra Pradesh,865,820,119,74,20.4,1064,1139,96.4,86.3,99.6,94.4,79.1,89.8,87.5,68.1,-15.1,76.9,46.2,25.3,0,9.6,92.6,79.1,78.1,76.5,1,0,0,0.4,0,2.5,1.4,16.1,27.7,81.5,73.3,95.8,56.2,39.2,96.4,88.3,3715,*,90.3,98.9,40.1,0.5,98,66.1,79.7,47.9,-90,-97.2,-93.9,-90,-93.9,-90,-33.8,-62.1,-93.9,81,-100,0,7.8,*,*,*,2.4,-45.8,29.3,*,*,-26.1,*,-23.4,29.8,14.3,5.2,21.1,4.2,10.5,40.6,53.5,65.7,60.4,*,60.3,59,7.9,13.4,23.3,8.5,11.9,22.5,13.4,4.3,24,18.6,5.1,28.5,5.4,2.1,12.3,1.4,21.3,0.4,22.8,cf80173e-fece-439d-a0b1-6e9cb510593d,cf80173e-fece-439d-a0b1-6e9cb510593d
Guntur,Andhra Pradesh,851,807,93,64.9,22.4,1055,941,92.3,82.5,99.2,99.3,83.4,91.7,85.8,71.1,-7.6,68.5,32.6,35.4,1,20.7,88,73.3,73.2,72.9,0,0.2,0,0.1,0,3.2,1.7,16.6,28.2,89.4,62.5,90.3,75.1,42.5,96,94,3912,*,97.2,98.6,49.6,0.9,95.5,53.8,72.2,37,-76.2,-100,-97.6,-76.2,-97.6,-92.5,-39.6,-87.8,-97.6,80.2,-97.4,-2.6,10,*,*,*,1,*,69.3,*,*,-8.6,*,11.2,23.8,17.8,8.1,26.9,3.6,9.6,46.4,53.4,59.3,59.8,-51.9,59.5,54.6,7.8,13,22.7,10.7,13.4,25.9,14.7,5.9,25.8,18,8.5,31.3,6.5,0.2,14.6,1.6,25.4,0.2,24.5,cf80173e-fece-439d-a0b1-6e9cb510593d,cf80173e-fece-439d-a0b1-6e9cb510593d
