circlename,regionname,divisionname,officename,pincode,officetype,delivery,district,statename,latitude,longitude,_resource_id,_source_resource_id
Telangana Circle,Hyderabad Region,Adilabad Division,Kothimir B.O,504273,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.3638689,79.5376658,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Adilabad Division,Papanpet B.O,504299,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.4764899,79.5839230,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Adilabad Division,Kukuda B.O,504299,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,NA,NA,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Adilabad Division,Bareguda B.O,504296,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.3285752,79.4760132,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Adilabad Division,Mosam B.O,504296,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.3778044,79.6165209,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Adilabad Division,Penchikalpet B.O,504296,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.2402360,79.8205696,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Adilabad Division,Vempalli B.O,504209,BO,Delivery,MANCHERIAL,TELANGANA,18.8730283,79.4118699,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Adilabad Division,Old Town B.O,504296,BO,Non Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.3454350,79.4782916,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Adilabad Division,Kammergaon  B.O,504296,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,NA,NA,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Adilabad Division,Chakepalli B.O,504272,BO,Delivery,MANCHERIAL,TELANGANA,19.1820860,79.4816378,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Adilabad Division,Repallewada B.O,504272,BO,Delivery,MANCHERIAL,TELANGANA,19.1760637,79.4281914,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Adilabad Division,Ginnedhari B.O,504297,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.1973141,79.239476100000005,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Adilabad Division,Malini,504295,BO,Delivery,KUMURAM BHEEM ASIFABAD,TELANGANA,19.458072999999999,79.400529000000006,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Yellapur B.O,506371,BO,Delivery,HANUMAKONDA,TELANGANA,18.0814575,79.4986557,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Madipalli B.O,506371,BO,Delivery,HANUMAKONDA,TELANGANA,18.0721411,79.5205913,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Karimnagar Division,Yellapur B.O,505415,BO,Delivery,Jagitial,TELANGANA,18.6848470,79.1109610,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Karimnagar Division,Mucherla B.O,505304,BO,Delivery,RAJANNA SIRCILLA,TELANGANA,18.2681810,78.6221410,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Karimnagar Division,Pegadapalli B.O,505532,BO,Delivery,Jagitial,TELANGANA,18.6985990,79.0740320,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Kondaparthy B.O,506003,BO,Delivery,HANUMAKONDA,TELANGANA,17.9224790,79.5384425,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
Telangana Circle,Hyderabad Region,Hanamkonda Division,Abdulnagaram B.O,506145,BO,Delivery,JANGOAN,TELANGANA,17.9319733,79.2306900,5c2f62fe-5afa-4119-a499-fec9d604d5bd,5c2f62fe-5afa-4119-a499-fec9d604d5bd
