region,country_of_nationality,number_of_arrivals_2017,number_of_arrivals_2018,number_of_arrivals_2019,number_of_arrivals_2020,number_of_arrivals_2021,percentage_share____2018_17,percentage_share____2019_18,percentage_share____2020_19,percentage_change___2021_20,percentage_change___2021,_resource_id,_source_resource_id
North America,Canada,335439,351040,351859,122868,80437,4.7,0.2,-65.1,-34.5,5.27,6f81905b-5c66-458f-baa3-74f870de5cd0,6f81905b-5c66-458f-baa3-74f870de5cd0
North America,U. S. A,1376919,1456678,1512032,394092,429860,5.8,3.8,-73.9,9.1,28.15,6f81905b-5c66-458f-baa3-74f870de5cd0,6f81905b-5c66-458f-baa3-74f870de5cd0
North America,Others,NA,NA,1,NA,2,NA,NA,NA,NA,NA,6f81905b-5c66-458f-baa3-74f870de5cd0,6f81905b-5c66-458f-baa3-74f870de5cd0
North America,Total,1712358,1807718,1863892,516960,510299,5.6,3.1,-72.3,-1.3,33.42,6f81905b-5c66-458f-baa3-74f870de5cd0,6f81905b-5c66-458f-baa3-74f870de5cd0
Central and South America,Argentina,14875,16345,12844,4294,530,9.9,-21.4,-66.6,-87.7,0.03,6f81905b-5c66-458f-baa3-74f870de5cd0,6f81905b-5c66-458f-baa3-74f870de5cd0
Central and South America,Brazil,24453,26579,25422,8092,2055,8.7,-4.4,-68.2,-74.6,0.13,6f81905b-5c66-458f-baa3-74f870de5cd0,6f81905b-5c66-458f-baa3-74f870de5cd0
Central and South America,Mexico,18114,19909,20766,4580,859,9.9,4.3,-77.9,-81.2,0.06,6f81905b-5c66-458f-baa3-74f870de5cd0,6f81905b-5c66-458f-baa3-74f870de5cd0
Central and South America,Others,34625,38252,39894,10002,3354,10.5,4.3,-74.9,-66.5,0.22,6f81905b-5c66-458f-baa3-74f870de5cd0,6f81905b-5c66-458f-baa3-74f870de5cd0
Central and South America,Total,92067,101085,98926,26968,6798,9.8,-2.1,-72.7,-74.8,0.45,6f81905b-5c66-458f-baa3-74f870de5cd0,6f81905b-5c66-458f-baa3-74f870de5cd0
Western Europe,Austria,31842,33200,32332,9182,4411,4.3,-2.6,-71.6,-52,0.29,6f81905b-5c66-458f-baa3-74f870de5cd0,6f81905b-5c66-458f-baa3-74f870de5cd0
Western Europe,Belgium,41902,44086,39263,11022,7382,5.2,-10.9,-71.9,-33,0.48,6f81905b-5c66-458f-baa3-74f870de5cd0,6f81905b-5c66-458f-baa3-74f870de5cd0
Western Europe,Denmark,26761,28195,26492,8252,2025,5.4,-6,-68.9,-75.5,0.13,6f81905b-5c66-458f-baa3-74f870de5cd0,6f81905b-5c66-458f-baa3-74f870de5cd0
Western Europe,Finland,20384,21239,18945,4310,1329,4.2,-10.8,-77.2,-69.2,0.09,6f81905b-5c66-458f-baa3-74f870de5cd0,6f81905b-5c66-458f-baa3-74f870de5cd0
Western Europe,France,249620,261653,247238,74243,30374,4.8,-5.5,-70,-59.1,1.99,6f81905b-5c66-458f-baa3-74f870de5cd0,6f81905b-5c66-458f-baa3-74f870de5cd0
Western Europe,Germany,269380,274087,264973,72558,33772,1.7,-3.3,-72.6,-53.5,2.21,6f81905b-5c66-458f-baa3-74f870de5cd0,6f81905b-5c66-458f-baa3-74f870de5cd0
Western Europe,Greece,10286,10656,10317,2854,1144,3.6,-3.2,-72.3,-59.9,0.07,6f81905b-5c66-458f-baa3-74f870de5cd0,6f81905b-5c66-458f-baa3-74f870de5cd0
Western Europe,Ireland,37993,39276,41183,9708,7600,3.4,4.9,-76.4,-21.7,0.5,6f81905b-5c66-458f-baa3-74f870de5cd0,6f81905b-5c66-458f-baa3-74f870de5cd0
Western Europe,Italy,111915,126931,128572,31186,13659,13.4,1.3,-75.7,-56.2,0.89,6f81905b-5c66-458f-baa3-74f870de5cd0,6f81905b-5c66-458f-baa3-74f870de5cd0
