_sl__no_,state_ut,_2018___general_agricultural_labourers,_2018___non__agricultural_labourers,_2019___general_agricultural_labourers,_2019___non__agricultural_labourers,_2020___general_agricultural_labourers,_2020___non__agricultural_labourers,_2021___general_agricultural_labourers,_2021___non__agricultural_labourers,_2022___general_agricultural_labourers,_2022___non__agricultural_labourers,_resource_id,_source_resource_id
1,Andhra Pradesh,277.43,263.5,298.05,288.38,315.24,300.84,333.04,329.04,371.2,363.69,67722646-54ac-4b26-b73e-124d4bc22bda,67722646-54ac-4b26-b73e-124d4bc22bda
2,Assam,246.18,257.43,250.83,261.07,266.12,290.27,298.47,301.13,338.66,328.33,67722646-54ac-4b26-b73e-124d4bc22bda,67722646-54ac-4b26-b73e-124d4bc22bda
3,Bihar,235.94,247.78,254.11,262.52,268.33,285.67,285.86,295.33,304.34,310.34,67722646-54ac-4b26-b73e-124d4bc22bda,67722646-54ac-4b26-b73e-124d4bc22bda
4,Gujrat,195.6,222.4,207.39,231.75,211.35,238.75,218.43,248.47,235.44,267.28,67722646-54ac-4b26-b73e-124d4bc22bda,67722646-54ac-4b26-b73e-124d4bc22bda
5,Haryana,380.17,358.36,397.38,374.94,383.2,382.28,389.76,399.63,416.5,442.68,67722646-54ac-4b26-b73e-124d4bc22bda,67722646-54ac-4b26-b73e-124d4bc22bda
6,Himachal Pradesh,382.45,334.28,414.11,342.06,421.67,344.18,444.72,371.26,473.33,416.19,67722646-54ac-4b26-b73e-124d4bc22bda,67722646-54ac-4b26-b73e-124d4bc22bda
7,Jammu and Kashmir,441.88,427.17,445.84,451.02,489.31,471.57,519.19,497.76,544.77,513.63,67722646-54ac-4b26-b73e-124d4bc22bda,67722646-54ac-4b26-b73e-124d4bc22bda
8,Karnataka,285.64,256.23,291,264.43,305.45,272.13,326.92,290.03,367.02,329.94,67722646-54ac-4b26-b73e-124d4bc22bda,67722646-54ac-4b26-b73e-124d4bc22bda
9,Kerala,676.79,650.28,698.21,668.7,703.98,675.5,718.15,678.65,755.36,693.49,67722646-54ac-4b26-b73e-124d4bc22bda,67722646-54ac-4b26-b73e-124d4bc22bda
10,MP,195.82,201.32,197.5,204.71,214.09,228.26,214.8,225.46,227.7,244.89,67722646-54ac-4b26-b73e-124d4bc22bda,67722646-54ac-4b26-b73e-124d4bc22bda
11,Maharashtra,210.56,229.09,226.89,237.36,256.87,253.72,280.46,275.25,298.29,289.22,67722646-54ac-4b26-b73e-124d4bc22bda,67722646-54ac-4b26-b73e-124d4bc22bda
12,Meghalaya,228.2,212.5,231.25,216.15,229.88,215.02,315.67,280.5,326.83,296.69,67722646-54ac-4b26-b73e-124d4bc22bda,67722646-54ac-4b26-b73e-124d4bc22bda
13,Odisha,226,226.27,230.88,237.62,246.36,260.91,267.96,282.92,280.27,293.53,67722646-54ac-4b26-b73e-124d4bc22bda,67722646-54ac-4b26-b73e-124d4bc22bda
14,Punjab,333.36,314.52,348.16,331.92,352.45,337.85,367.02,354.05,390.1,371.68,67722646-54ac-4b26-b73e-124d4bc22bda,67722646-54ac-4b26-b73e-124d4bc22bda
15,Rajasthan,289.98,310.46,297.29,315.1,313.22,320.97,354.97,338.15,361.88,348.63,67722646-54ac-4b26-b73e-124d4bc22bda,67722646-54ac-4b26-b73e-124d4bc22bda
16,Tamil Nadu,397.83,412,405.76,432.67,426.9,447.34,442.3,455.6,464.36,479.66,67722646-54ac-4b26-b73e-124d4bc22bda,67722646-54ac-4b26-b73e-124d4bc22bda
17,Tripura,270,250,270,250,270,250,270,250,286.81,265.28,67722646-54ac-4b26-b73e-124d4bc22bda,67722646-54ac-4b26-b73e-124d4bc22bda
18,Uttar Pradesh,242.63,257.38,255.06,269.66,271.08,283.02,284.89,297.99,302.25,318.24,67722646-54ac-4b26-b73e-124d4bc22bda,67722646-54ac-4b26-b73e-124d4bc22bda
19,West Bengal,262.24,286.14,265.87,289.87,282.14,302.1,301.44,315.87,318.01,333.16,67722646-54ac-4b26-b73e-124d4bc22bda,67722646-54ac-4b26-b73e-124d4bc22bda
