state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,_resource_id,_source_resource_id
Uttar Pradesh,Bulandshahar,Anoop Shahar APMC,Green Chilli,Green Chilly,FAQ,22/03/2026,3400,3800,3600,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Uttar Pradesh,Bulandshahar,Anoop Shahar APMC,Cucumbar(Kheera),Cucumbar,FAQ,22/03/2026,1000,1400,1200,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Uttar Pradesh,Bulandshahar,Anoop Shahar APMC,Brinjal,Other,FAQ,22/03/2026,1000,1400,1200,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Madhya Pradesh,Morena,Sabalgarh(F&V) APMC,Green Chilli,Green Chilly,FAQ,22/03/2026,2000,2000,2000,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Assam,Darrang,Balugaon APMC,Cabbage,Cabbage,Local,22/03/2026,1000,1200,1100,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Assam,Darrang,Besimari APMC,Beetroot,Beetroot,Local,22/03/2026,1000,1400,1200,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Assam,Darrang,Besimari APMC,French Beans(Frasbean),French Beans (Frasbean),Local,22/03/2026,2200,2600,2400,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
West Bengal,Bankura,Bishnupur(Bankura) APMC,Wheat,Sonalika,Non-FAQ,22/03/2026,2900,3200,3100,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
West Bengal,Bankura,Bishnupur(Bankura) APMC,Bottle gourd,Bottle Gourd,Local,22/03/2026,1400,1700,1500,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Onion,Bellary,Local,22/03/2026,2400,2600,2500,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Garlic,Garlic,Local,22/03/2026,12000,13000,12500,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Green Peas,Green Peas,Local,22/03/2026,8000,8500,8250,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Tomato,Local,Local,22/03/2026,1200,1600,1400,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Amaranthus,Amaranthus,Local,22/03/2026,2300,2500,2400,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Green Chilli,Green Chilly,Local,22/03/2026,3800,4000,3900,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Banana - Green,Banana - Green,Local,22/03/2026,2800,3000,2900,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Beans,Beans (Whole),Local,22/03/2026,7500,8000,7750,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Ginger(Green),Green Ginger,Local,22/03/2026,8000,8500,8250,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Snakeguard,Snakeguard,Local,22/03/2026,1200,1500,1350,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Knool Khol,Knool Khol,Local,22/03/2026,3600,3800,3700,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Lemon,Lemon,Local,22/03/2026,14000,15000,14500,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Bitter gourd,Other,Local,22/03/2026,2800,3000,2900,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Potato,Red Nanital,Local,22/03/2026,2800,3000,2900,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Cauliflower,Ranchi,Local,22/03/2026,2500,3000,2750,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Papaya,Papaya,Local,22/03/2026,2500,3000,2750,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Cluster beans,Cluster Beans,Local,22/03/2026,4000,4500,4250,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Amaranthus,Amaranthus,Local,22/03/2026,2000,2500,2250,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Green Chilli,Green Chilly,Local,22/03/2026,3500,4000,3750,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Snakeguard,Snakeguard,Local,22/03/2026,2400,2800,2600,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Beetroot,Beetroot,Local,22/03/2026,4500,5000,4750,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Raddish,Raddish,Local,22/03/2026,2000,2200,2100,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Papaya,Papaya,Local,22/03/2026,3500,3800,3650,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Carrot,Pusakesar,Local,22/03/2026,1600,1600,1600,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Beetroot,Beetroot,Local,22/03/2026,2000,2400,2200,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Raddish,Raddish,Local,22/03/2026,1500,1500,1500,9ef84268-d588-465a-a308-a864a43d0070,9ef84268-d588-465a-a308-a864a43d0070
