stateCode,stateNameEnglish,districtCode,districtNameEnglish,subdistrictCode,subdistrictNameEnglish,villageCode,villageNameEnglish,pincode,_resource_id,_source_resource_id
10,Bihar,206,Madhubani,1085,Laukaha,219990,Bagha Kusmar,847409,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
23,Madhya Pradesh,420,Panna,3440,Pawai,937938,Maheda,488446,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
23,Madhya Pradesh,411,Jabalpur,3629,Patan,916287,Karhaiyakhurd,483119,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
23,Madhya Pradesh,399,Chhindwara,3652,Parasia,908475,Sethiya,480441,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
8,Rajasthan,107,Jodhpur,570,Jodhpur,926341,Ghewa,342024,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,69,Mahendragarh,6456,Nangal Chawdhary,900915,Nangal Chaudhry,123023,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,604,Nuh,423,Ferozepur Jhirka,917646,Thekri (73),122508,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,604,Nuh,7172,Indri,63093,Bahadri(85),122103,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,604,Nuh,422,Nuh,913205,Ranika,122103,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,604,Nuh,424,Punahana,63427,Mhuziaba(240),122508,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,71,Panipat,375,Panipat,59504,Sec. 11&12 Part II (Ct),132104,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,71,Panipat,377,Samalkha,911968,Garhi Besak,132104,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
8,Rajasthan,87,Alwar,499,Alwar,914378,Patti Kalan,301001,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,62,Gurugram,418,Farrukhnagar,916518,Dhani Kawalvali (134)(Bechirag),122505,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,62,Gurugram,418,Farrukhnagar,916520,Dhani Musepur (134)(Bechirag),122506,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,62,Gurugram,418,Farrukhnagar,916526,Jori Kalan (24),122503,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,62,Gurugram,419,Manesar,913035,Rampura(160),122004,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,62,Gurugram,6420,Wazirabad St,934122,Gwal Pahari,122003,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,63,Hisar,394,Hisar,645583,Ccs Hau Campus&Mini Sect. (Og),125004,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,63,Hisar,394,Hisar,916566,Chandan Nagar (145),125004,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,64,Jhajjar,410,Matenhail,913157,Azadnagar,124106,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,66,Kaithal,367,Guhla,910954,Ajitnagar,136034,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,66,Kaithal,367,Guhla,910956,Dharampura,136027,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,66,Kaithal,367,Guhla,910957,Govindpura,136033,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,66,Kaithal,367,Guhla,910944,Nanakpura,136034,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,66,Kaithal,367,Guhla,910943,Sultania Kartarpur,136034,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,67,Karnal,373,Assandh,911993,Dera Satsang,132040,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,67,Karnal,373,Assandh,910903,Faizpur,132040,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,67,Karnal,373,Assandh,901055,Pabana Hasanpur,132040,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,67,Karnal,373,Assandh,910960,Padhana,132039,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,67,Karnal,374,Gharaunda,910925,Bharatpur,132114,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,67,Karnal,374,Gharaunda,910928,Dera Majbi Sikh,132114,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,67,Karnal,371,Indri,910893,Bir Majri,132054,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,67,Karnal,371,Indri,910894,Dera Halwana,132041,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,67,Karnal,372,Karnal,912000,Andhera,132037,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,67,Karnal,372,Karnal,910933,Dabarki Khurd,132022,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,67,Karnal,372,Karnal,910938,Doula Kuwan,132024,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,67,Karnal,372,Karnal,916527,Fatehgarh (62),132024,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,67,Karnal,372,Karnal,910962,Modipur,132023,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,67,Karnal,372,Karnal,910963,Rattan Garh,132036,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,67,Karnal,372,Karnal,59310,Uncha Siwana (Ct),132037,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,67,Karnal,6451,Nigdu St,934303,Bahola Khalsa,132117,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,68,Kurukshetra,365,Pehowa,916603,Chuniya Farm (45),136128,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,68,Kurukshetra,365,Pehowa,58439,Garhi Singha (156),136128,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,68,Kurukshetra,365,Pehowa,911966,Madan Pur,136030,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,68,Kurukshetra,365,Pehowa,911952,Megha Majra,136130,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,68,Kurukshetra,366,Thanesar,916604,Dera Sant Singh (379),136119,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,68,Kurukshetra,366,Thanesar,911905,Gudhi,136132,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,68,Kurukshetra,366,Thanesar,916560,Sharifgarh (93),136135,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,619,Palwal,429,Hodal,913210,Beda Patti,121106,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,619,Palwal,429,Hodal,913211,Gopalgarh,121105,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,619,Palwal,427,Palwal,916547,Achheja (111),121102,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,619,Palwal,427,Palwal,916567,Ajijabad (112),121102,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,619,Palwal,427,Palwal,916551,Bharka (111),121102,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,619,Palwal,427,Palwal,916573,Hafzabad (110),121106,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,72,Rewari,413,Kosli,900919,Sihas,123401,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,74,Sirsa,392,Ellenabad,60809,Amritsar Kalan(129),125102,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,74,Sirsa,390,Sirsa,943172,Shahsatnampur,125055,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,74,Sirsa,390,Sirsa,916772,Shah Satnampura (86),125055,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,75,Sonipat,380,Sonipat,913118,Garhi Hakikat,131001,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,75,Sonipat,380,Sonipat,913119,Juan II,131024,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,75,Sonipat,380,Sonipat,916534,Tanda (34),131023,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,59,Bhiwani,397,Bawani Khera,913055,Alakhpura (132),127041,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,59,Bhiwani,397,Bawani Khera,913060,Durjanpur (133),127032,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,59,Bhiwani,397,Bawani Khera,913063,Kungar Chhota Pana (131),127041,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,59,Bhiwani,397,Bawani Khera,913065,Sikanderpur (133),127032,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,59,Bhiwani,398,Bhiwani,913076,Kalinga Panu Sawai (130),127114,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,59,Bhiwani,398,Bhiwani,913078,Patharwali (58),127030,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,59,Bhiwani,401,Loharu,913084,Bass Kural (70),127201,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,59,Bhiwani,401,Loharu,916580,Sukhdev Singh Ka Bass (65),127201,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,59,Bhiwani,399,Tosham,913093,Dhani Katwar (97),127043,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
6,Haryana,59,Bhiwani,399,Tosham,913094,Dhani Miran (89),127040,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
18,Assam,280,Barpeta,2018,Barnagar (Pt),282629,Bahbari,781315,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
18,Assam,280,Barpeta,2018,Barnagar (Pt),282618,Bilashipara Pathar,781315,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
18,Assam,281,Bongaigaon,2111,Boitamari,301346,Hill Block N.C.,783382,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
18,Assam,281,Bongaigaon,2110,Bongaigaon (Pt),301306,Khakarpur Pahar Block N.C Pt-I,783394,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
18,Assam,281,Bongaigaon,2110,Bongaigaon (Pt),301325,New Bongaigaon Rly. Col. (Ct),783394,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
18,Assam,283,Darrang,2146,Pathorighat (Pt),305168,Bologara,784144,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
18,Assam,283,Darrang,2146,Pathorighat (Pt),305136,Chamuakhat,784190,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
18,Assam,283,Darrang,2146,Pathorighat (Pt),305144,Dhansiri Kash,784508,f17a1608-5f10-4610-bb50-a63c80d83974,f17a1608-5f10-4610-bb50-a63c80d83974
