name,state,district,source,latitude,longitude
Pundibari,West Bengal,Coochbehar,derived_data_gov,,
Toofanganj,West Bengal,Coochbehar,derived_data_gov,,
Sheoraphuly,West Bengal,Hooghly,derived_data_gov,,
Anoop Shahar,Uttar Pradesh,Bulandshahar,derived_data_gov,,
Sikanderabad,Uttar Pradesh,Bulandshahar,derived_data_gov,,
Sealdah Koley Market,West Bengal,Kolkata,derived_data_gov,22.56263,88.36304
Deesa(Deesa Veg Yard),Gujarat,Banaskanth,derived_data_gov,,
Bharuch,Gujarat,Bharuch,derived_data_gov,21.69482,72.9805
Talalagir,Gujarat,Gir Somnath,derived_data_gov,,
Surat,Gujarat,Surat,derived_data_gov,21.19594,72.83023
Padra,Gujarat,Vadodara(Baroda),derived_data_gov,,
Vadodara(Sayajipura),Gujarat,Vadodara(Baroda),derived_data_gov,,
Borsad,Gujarat,Anand,derived_data_gov,22.55251,72.9552
Junagadh,Gujarat,Junagarh,derived_data_gov,19.85993,82.93385
Bardoli,Gujarat,Surat,derived_data_gov,21.19594,72.83023
Valod(Buhari),Gujarat,Surat,derived_data_gov,21.19594,72.83023
Bhiwani,Haryana,Bhiwani,derived_data_gov,28.79304,76.13968
Ch. Dadri,Haryana,Bhiwani,derived_data_gov,28.79304,76.13968
Tosham,Haryana,Bhiwani,derived_data_gov,28.79304,76.13968
Barwala(Hisar),Haryana,Hissar,derived_data_gov,36.0633,48.581
Barwala,Haryana,Panchkula,derived_data_gov,30.69461,76.8504
Narwal Jammu (F&V),Jammu and Kashmir,Jammu,derived_data_gov,32.73528,74.86167
Kathua,Jammu and Kashmir,Kathua,derived_data_gov,32.36941,75.52539
Ajnala,Punjab,Amritsar,derived_data_gov,31.62234,74.87534
Barnala,Punjab,Barnala,derived_data_gov,30.37451,75.5487
Meham,Haryana,Rohtak,derived_data_gov,28.89447,76.58917
Hamirpur,Himachal Pradesh,Hamirpur,derived_data_gov,25.9553,80.14842
Hamirpur(Nadaun),Himachal Pradesh,Hamirpur,derived_data_gov,25.9553,80.14842
Gadhwah,Jharkhand,Garhwa,derived_data_gov,24.16002,83.80755
Munnar,Kerala,Idukki,derived_data_gov,9.85,76.96667
Kollam,Kerala,Kollam,derived_data_gov,8.88113,76.58469
Kottarakkara,Kerala,Kollam,derived_data_gov,8.88113,76.58469
Kuruppanthura,Kerala,Kottayam,derived_data_gov,9.58692,76.52132
Shillong,Meghalaya,East Khasi Hills,derived_data_gov,,
Shahdara,NCT of Delhi,Delhi,derived_data_gov,28.65195,77.23149
Khamano,Punjab,Fatehgarh,derived_data_gov,27.36409,79.63111
Talwandi Bhai,Punjab,Ferozpur,derived_data_gov,30.93198,72.83818
Adampur,Punjab,Jalandhar,derived_data_gov,31.32556,75.57917
Bilga,Punjab,Jalandhar,derived_data_gov,31.32556,75.57917
